Jan-49, Canada, Alcoholic beverages, 2.257
Feb-89, Ontario, Alcoholic beverages, 14.257
Feb-89, Manitoba, Education and reading, 18.247
Feb-89, Manitoba, Alcoholic beverages, 18.257
Feb-89, Saskatchewan, Education and reading, 20.247
Feb-89, Saskatchewan, Alcoholic beverages, 20.257
Feb-89, Alberta, Education and reading, 23.247
Feb-89, Alberta, Alcoholic beverages, 23.257
Feb-89, British Columbia, Education and reading, 26.247
Feb-89, British Columbia, Alcoholic beverages, 26.257
Feb-89, Whitehorse Yukon, Education and reading, 29.247
Feb-89, Whitehorse Yukon, Alcoholic beverages, 29.257
Feb-89, Yellowknife Northwest Territories, Education and reading, 30.247
Feb-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Mar-89, Canada, Education and reading, 2.247
Mar-89, Canada, Alcoholic beverages, 2.257
Mar-89, Newfoundland and Labrador, Education and reading, 3.247
Mar-89, Newfoundland and Labrador, Alcoholic beverages, 3.257
Mar-89, Prince Edward Island, Education and reading, 5.247
Mar-89, Prince Edward Island, Alcoholic beverages, 5.257
Mar-89, Nova Scotia, Education and reading, 7.247
Mar-89, Nova Scotia, Alcoholic beverages, 7.257
Mar-89, New Brunswick, Education and reading, 9.247
Mar-89, New Brunswick, Alcoholic beverages, 9.257
Mar-89, Quebec, Education and reading, 11.247
Mar-89, Quebec, Alcoholic beverages, 11.257
Mar-89, Ontario, Education and reading, 14.247
Mar-89, Ontario, Alcoholic beverages, 14.257
Mar-89, Manitoba, Education and reading, 18.247
Mar-89, Manitoba, Alcoholic beverages, 18.257
Mar-89, Saskatchewan, Education and reading, 20.247
Mar-89, Saskatchewan, Alcoholic beverages, 20.257
Mar-89, Alberta, Education and reading, 23.247
Mar-89, Alberta, Alcoholic beverages, 23.257
Mar-89, British Columbia, Education and reading, 26.247
Mar-89, British Columbia, Alcoholic beverages, 26.257
Mar-89, Whitehorse Yukon, Education and reading, 29.247
Mar-89, Whitehorse Yukon, Alcoholic beverages, 29.257
Mar-89, Yellowknife Northwest Territories, Education and reading, 30.247
Mar-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Apr-89, Canada, Education and reading, 2.247
Apr-89, Canada, Alcoholic beverages, 2.257
Apr-89, Newfoundland and Labrador, Education and reading, 3.247
Apr-89, Newfoundland and Labrador, Alcoholic beverages, 3.257
Apr-89, Prince Edward Island, Education and reading, 5.247
Apr-89, Prince Edward Island, Alcoholic beverages, 5.257
Apr-89, Nova Scotia, Education and reading, 7.247
Apr-89, Nova Scotia, Alcoholic beverages, 7.257
Apr-89, New Brunswick, Education and reading, 9.247
Apr-89, New Brunswick, Alcoholic beverages, 9.257
Apr-89, Quebec, Education and reading, 11.247
Apr-89, Quebec, Alcoholic beverages, 11.257
Apr-89, Ontario, Education and reading, 14.247
Apr-89, Ontario, Alcoholic beverages, 14.257
Apr-89, Manitoba, Education and reading, 18.247
Apr-89, Manitoba, Alcoholic beverages, 18.257
Apr-89, Saskatchewan, Education and reading, 20.247
Apr-89, Saskatchewan, Alcoholic beverages, 20.257
Apr-89, Alberta, Education and reading, 23.247
Apr-89, Alberta, Alcoholic beverages, 23.257
Apr-89, British Columbia, Education and reading, 26.247
Apr-89, British Columbia, Alcoholic beverages, 26.257
Apr-89, Whitehorse Yukon, Education and reading, 29.247
Apr-89, Whitehorse Yukon, Alcoholic beverages, 29.257
Apr-89, Yellowknife Northwest Territories, Education and reading, 30.247
Apr-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
May-89, Canada, Education and reading, 2.247
May-89, Canada, Alcoholic beverages, 2.257
May-89, Newfoundland and Labrador, Education and reading, 3.247
May-89, Newfoundland and Labrador, Alcoholic beverages, 3.257
May-89, Prince Edward Island, Education and reading, 5.247
May-89, Prince Edward Island, Alcoholic beverages, 5.257
May-89, Nova Scotia, Education and reading, 7.247
May-89, Nova Scotia, Alcoholic beverages, 7.257
May-89, New Brunswick, Education and reading, 9.247
May-89, New Brunswick, Alcoholic beverages, 9.257
May-89, Quebec, Education and reading, 11.247
May-89, Quebec, Alcoholic beverages, 11.257
May-89, Ontario, Education and reading, 14.247
May-89, Ontario, Alcoholic beverages, 14.257
May-89, Manitoba, Education and reading, 18.247
May-89, Manitoba, Alcoholic beverages, 18.257
May-89, Saskatchewan, Education and reading, 20.247
May-89, Saskatchewan, Alcoholic beverages, 20.257
May-89, Alberta, Education and reading, 23.247
May-89, Alberta, Alcoholic beverages, 23.257
May-89, British Columbia, Education and reading, 26.247
May-89, British Columbia, Alcoholic beverages, 26.257
May-89, Whitehorse Yukon, Education and reading, 29.247
May-89, Whitehorse Yukon, Alcoholic beverages, 29.257
May-89, Yellowknife Northwest Territories, Education and reading, 30.247
May-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Jun-89, Canada, Education and reading, 2.247
Jun-89, Canada, Alcoholic beverages, 2.257
Jun-89, Newfoundland and Labrador, Education and reading, 3.247
Jun-89, Newfoundland and Labrador, Alcoholic beverages, 3.257
Jun-89, Prince Edward Island, Education and reading, 5.247
Jun-89, Prince Edward Island, Alcoholic beverages, 5.257
Jun-89, Nova Scotia, Education and reading, 7.247
Jun-89, Nova Scotia, Alcoholic beverages, 7.257
Jun-89, New Brunswick, Education and reading, 9.247
Jun-89, New Brunswick, Alcoholic beverages, 9.257
Jun-89, Quebec, Education and reading, 11.247
Jun-89, Quebec, Alcoholic beverages, 11.257
Jun-89, Ontario, Education and reading, 14.247
Jun-89, Ontario, Alcoholic beverages, 14.257
Jun-89, Manitoba, Education and reading, 18.247
Jun-89, Manitoba, Alcoholic beverages, 18.257
Jun-89, Saskatchewan, Education and reading, 20.247
Jun-89, Saskatchewan, Alcoholic beverages, 20.257
Jun-89, Alberta, Education and reading, 23.247
Jun-89, Alberta, Alcoholic beverages, 23.257
Jun-89, British Columbia, Education and reading, 26.247
Jun-89, British Columbia, Alcoholic beverages, 26.257
Jun-89, Whitehorse Yukon, Education and reading, 29.247
Jun-89, Whitehorse Yukon, Alcoholic beverages, 29.257
Jun-89, Yellowknife Northwest Territories, Education and reading, 30.247
Jun-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Jul-89, Canada, Education and reading, 2.247
Jul-89, Canada, Alcoholic beverages, 2.257
Jul-89, Newfoundland and Labrador, Education and reading, 3.247
Jul-89, Newfoundland and Labrador, Alcoholic beverages, 3.257
Jul-89, Prince Edward Island, Education and reading, 5.247
Jul-89, Prince Edward Island, Alcoholic beverages, 5.257
Jul-89, Nova Scotia, Education and reading, 7.247
Jul-89, Nova Scotia, Alcoholic beverages, 7.257
Jul-89, New Brunswick, Education and reading, 9.247
Jul-89, New Brunswick, Alcoholic beverages, 9.257
Jul-89, Quebec, Education and reading, 11.247
Jul-89, Quebec, Alcoholic beverages, 11.257
Jul-89, Ontario, Education and reading, 14.247
Jul-89, Ontario, Alcoholic beverages, 14.257
Jul-89, Manitoba, Education and reading, 18.247
Jul-89, Manitoba, Alcoholic beverages, 18.257
Jul-89, Saskatchewan, Education and reading, 20.247
Jul-89, Saskatchewan, Alcoholic beverages, 20.257
Jul-89, Alberta, Education and reading, 23.247
Jul-89, Alberta, Alcoholic beverages, 23.257
Jul-89, British Columbia, Education and reading, 26.247
Jul-89, British Columbia, Alcoholic beverages, 26.257
Jul-89, Whitehorse Yukon, Education and reading, 29.247
Jul-89, Whitehorse Yukon, Alcoholic beverages, 29.257
Jul-89, Yellowknife Northwest Territories, Education and reading, 30.247
Jul-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Aug-89, Canada, Education and reading, 2.247
Aug-89, Canada, Alcoholic beverages, 2.257
Aug-89, Newfoundland and Labrador, Education and reading, 3.247
Aug-89, Newfoundland and Labrador, Alcoholic beverages, 3.257
Aug-89, Prince Edward Island, Education and reading, 5.247
Aug-89, Prince Edward Island, Alcoholic beverages, 5.257
Aug-89, Nova Scotia, Education and reading, 7.247
Aug-89, Nova Scotia, Alcoholic beverages, 7.257
Aug-89, New Brunswick, Education and reading, 9.247
Aug-89, New Brunswick, Alcoholic beverages, 9.257
Aug-89, Quebec, Education and reading, 11.247
Aug-89, Quebec, Alcoholic beverages, 11.257
Aug-89, Ontario, Education and reading, 14.247
Aug-89, Ontario, Alcoholic beverages, 14.257
Aug-89, Manitoba, Education and reading, 18.247
Aug-89, Manitoba, Alcoholic beverages, 18.257
Aug-89, Saskatchewan, Education and reading, 20.247
Aug-89, Saskatchewan, Alcoholic beverages, 20.257
Aug-89, Alberta, Education and reading, 23.247
Aug-89, Alberta, Alcoholic beverages, 23.257
Aug-89, British Columbia, Education and reading, 26.247
Aug-89, British Columbia, Alcoholic beverages, 26.257
Aug-89, Whitehorse Yukon, Education and reading, 29.247
Aug-89, Whitehorse Yukon, Alcoholic beverages, 29.257
Aug-89, Yellowknife Northwest Territories, Education and reading, 30.247
Aug-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Sep-89, Canada, Education and reading, 2.247
Sep-89, Canada, Alcoholic beverages, 2.257
Sep-89, Newfoundland and Labrador, Education and reading, 3.247
Sep-89, Newfoundland and Labrador, Alcoholic beverages, 3.257
Sep-89, Prince Edward Island, Education and reading, 5.247
Sep-89, Prince Edward Island, Alcoholic beverages, 5.257
Sep-89, Nova Scotia, Education and reading, 7.247
Sep-89, Nova Scotia, Alcoholic beverages, 7.257
Sep-89, New Brunswick, Education and reading, 9.247
Sep-89, New Brunswick, Alcoholic beverages, 9.257
Sep-89, Quebec, Education and reading, 11.247
Sep-89, Quebec, Alcoholic beverages, 11.257
Sep-89, Ontario, Education and reading, 14.247
Sep-89, Ontario, Alcoholic beverages, 14.257
Sep-89, Manitoba, Education and reading, 18.247
Sep-89, Manitoba, Alcoholic beverages, 18.257
Sep-89, Saskatchewan, Education and reading, 20.247
Sep-89, Saskatchewan, Alcoholic beverages, 20.257
Sep-89, Alberta, Education and reading, 23.247
Sep-89, Alberta, Alcoholic beverages, 23.257
Sep-89, British Columbia, Education and reading, 26.247
Sep-89, British Columbia, Alcoholic beverages, 26.257
Sep-89, Whitehorse Yukon, Education and reading, 29.247
Sep-89, Whitehorse Yukon, Alcoholic beverages, 29.257
Sep-89, Yellowknife Northwest Territories, Education and reading, 30.247
Sep-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Oct-89, Canada, Education and reading, 2.247
Oct-89, Canada, Alcoholic beverages, 2.257
Oct-89, Newfoundland and Labrador, Education and reading, 3.247
Oct-89, Newfoundland and Labrador, Alcoholic beverages, 3.257
Oct-89, Prince Edward Island, Education and reading, 5.247
Oct-89, Prince Edward Island, Alcoholic beverages, 5.257
Oct-89, Nova Scotia, Education and reading, 7.247
Oct-89, Nova Scotia, Alcoholic beverages, 7.257
Oct-89, New Brunswick, Education and reading, 9.247
Oct-89, New Brunswick, Alcoholic beverages, 9.257
Oct-89, Quebec, Education and reading, 11.247
Oct-89, Quebec, Alcoholic beverages, 11.257
Oct-89, Ontario, Education and reading, 14.247
Oct-89, Ontario, Alcoholic beverages, 14.257
Oct-89, Manitoba, Education and reading, 18.247
Oct-89, Manitoba, Alcoholic beverages, 18.257
Oct-89, Saskatchewan, Education and reading, 20.247
Oct-89, Saskatchewan, Alcoholic beverages, 20.257
Oct-89, Alberta, Education and reading, 23.247
Oct-89, Alberta, Alcoholic beverages, 23.257
Oct-89, British Columbia, Education and reading, 26.247
Oct-89, British Columbia, Alcoholic beverages, 26.257
Oct-89, Whitehorse Yukon, Education and reading, 29.247
Oct-89, Whitehorse Yukon, Alcoholic beverages, 29.257
Oct-89, Yellowknife Northwest Territories, Education and reading, 30.247
Oct-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Nov-89, Canada, Education and reading, 2.247
Nov-89, Canada, Alcoholic beverages, 2.257
Nov-89, Newfoundland and Labrador, Education and reading, 3.247
Nov-89, Newfoundland and Labrador, Alcoholic beverages, 3.257
Nov-89, Prince Edward Island, Education and reading, 5.247
Nov-89, Prince Edward Island, Alcoholic beverages, 5.257
Nov-89, Nova Scotia, Education and reading, 7.247
Nov-89, Nova Scotia, Alcoholic beverages, 7.257
Nov-89, New Brunswick, Education and reading, 9.247
Nov-89, New Brunswick, Alcoholic beverages, 9.257
Nov-89, Quebec, Education and reading, 11.247
Nov-89, Quebec, Alcoholic beverages, 11.257
Nov-89, Ontario, Education and reading, 14.247
Nov-89, Ontario, Alcoholic beverages, 14.257
Nov-89, Manitoba, Education and reading, 18.247
Nov-89, Manitoba, Alcoholic beverages, 18.257
Nov-89, Saskatchewan, Education and reading, 20.247
Nov-89, Saskatchewan, Alcoholic beverages, 20.257
Nov-89, Alberta, Education and reading, 23.247
Nov-89, Alberta, Alcoholic beverages, 23.257
Nov-89, British Columbia, Education and reading, 26.247
Nov-89, British Columbia, Alcoholic beverages, 26.257
Nov-89, Whitehorse Yukon, Education and reading, 29.247
Nov-89, Whitehorse Yukon, Alcoholic beverages, 29.257
Nov-89, Yellowknife Northwest Territories, Education and reading, 30.247
Nov-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Dec-89, Canada, Education and reading, 2.247
Dec-89, Canada, Alcoholic beverages, 2.257
Dec-89, Newfoundland and Labrador, Education and reading, 3.247
Dec-89, Newfoundland and Labrador, Alcoholic beverages, 3.257
Dec-89, Prince Edward Island, Education and reading, 5.247
Dec-89, Prince Edward Island, Alcoholic beverages, 5.257
Dec-89, Nova Scotia, Education and reading, 7.247
Dec-89, Nova Scotia, Alcoholic beverages, 7.257
Dec-89, New Brunswick, Education and reading, 9.247
Dec-89, New Brunswick, Alcoholic beverages, 9.257
Dec-89, Quebec, Education and reading, 11.247
Dec-89, Quebec, Alcoholic beverages, 11.257
Dec-89, Ontario, Education and reading, 14.247
Dec-89, Ontario, Alcoholic beverages, 14.257
Dec-89, Manitoba, Education and reading, 18.247
Dec-89, Manitoba, Alcoholic beverages, 18.257
Dec-89, Saskatchewan, Education and reading, 20.247
Dec-89, Saskatchewan, Alcoholic beverages, 20.257
Dec-89, Alberta, Education and reading, 23.247
Dec-89, Alberta, Alcoholic beverages, 23.257
Dec-89, British Columbia, Education and reading, 26.247
Dec-89, British Columbia, Alcoholic beverages, 26.257
Dec-89, Whitehorse Yukon, Education and reading, 29.247
Dec-89, Whitehorse Yukon, Alcoholic beverages, 29.257
Dec-89, Yellowknife Northwest Territories, Education and reading, 30.247
Dec-89, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Jan-90, Canada, Education and reading, 2.247
Jan-90, Canada, Alcoholic beverages, 2.257
Jan-90, Newfoundland and Labrador, Education and reading, 3.247
Jan-90, Newfoundland and Labrador, Alcoholic beverages, 3.257
Jan-90, Prince Edward Island, Education and reading, 5.247
Jan-90, Prince Edward Island, Alcoholic beverages, 5.257
Jan-90, Nova Scotia, Education and reading, 7.247
Jan-90, Nova Scotia, Alcoholic beverages, 7.257
Jan-90, New Brunswick, Education and reading, 9.247
Jan-90, New Brunswick, Alcoholic beverages, 9.257
Jan-90, Quebec, Education and reading, 11.247
Jan-90, Quebec, Alcoholic beverages, 11.257
Jan-90, Ontario, Education and reading, 14.247
Jan-90, Ontario, Alcoholic beverages, 14.257
Jan-90, Manitoba, Education and reading, 18.247
Jan-90, Manitoba, Alcoholic beverages, 18.257
Jan-90, Saskatchewan, Education and reading, 20.247
Jan-90, Saskatchewan, Alcoholic beverages, 20.257
Jan-90, Alberta, Education and reading, 23.247
Jan-90, Alberta, Alcoholic beverages, 23.257
Jan-90, British Columbia, Education and reading, 26.247
Jan-90, British Columbia, Alcoholic beverages, 26.257
Jan-90, Whitehorse Yukon, Education and reading, 29.247
Jan-90, Whitehorse Yukon, Alcoholic beverages, 29.257
Jan-90, Yellowknife Northwest Territories, Education and reading, 30.247
Jan-90, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Feb-90, Canada, Education and reading, 2.247
Feb-90, Canada, Alcoholic beverages, 2.257
Feb-90, Newfoundland and Labrador, Education and reading, 3.247
Feb-90, Newfoundland and Labrador, Alcoholic beverages, 3.257
Feb-90, Prince Edward Island, Education and reading, 5.247
Feb-90, Prince Edward Island, Alcoholic beverages, 5.257
Feb-90, Nova Scotia, Education and reading, 7.247
Feb-90, Nova Scotia, Alcoholic beverages, 7.257
Feb-90, New Brunswick, Education and reading, 9.247
Feb-90, New Brunswick, Alcoholic beverages, 9.257
Feb-90, Quebec, Education and reading, 11.247
Feb-90, Quebec, Alcoholic beverages, 11.257
Feb-90, Ontario, Education and reading, 14.247
Feb-90, Ontario, Alcoholic beverages, 14.257
Feb-90, Manitoba, Education and reading, 18.247
Feb-90, Manitoba, Alcoholic beverages, 18.257
Feb-90, Saskatchewan, Education and reading, 20.247
Feb-90, Saskatchewan, Alcoholic beverages, 20.257
Feb-90, Alberta, Education and reading, 23.247
Feb-90, Alberta, Alcoholic beverages, 23.257
Feb-90, British Columbia, Education and reading, 26.247
Feb-90, British Columbia, Alcoholic beverages, 26.257
Feb-90, Whitehorse Yukon, Education and reading, 29.247
Feb-90, Whitehorse Yukon, Alcoholic beverages, 29.257
Feb-90, Yellowknife Northwest Territories, Education and reading, 30.247
Feb-90, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Mar-90, Canada, Education and reading, 2.247
Mar-90, Canada, Alcoholic beverages, 2.257
Mar-90, Newfoundland and Labrador, Education and reading, 3.247
Mar-90, Newfoundland and Labrador, Alcoholic beverages, 3.257
Mar-90, Prince Edward Island, Education and reading, 5.247
Mar-90, Prince Edward Island, Alcoholic beverages, 5.257
Mar-90, Nova Scotia, Education and reading, 7.247
Mar-90, Nova Scotia, Alcoholic beverages, 7.257
Mar-90, New Brunswick, Education and reading, 9.247
Mar-90, New Brunswick, Alcoholic beverages, 9.257
Mar-90, Quebec, Education and reading, 11.247
Mar-90, Quebec, Alcoholic beverages, 11.257
Mar-90, Ontario, Education and reading, 14.247
Mar-90, Ontario, Alcoholic beverages, 14.257
Mar-90, Manitoba, Education and reading, 18.247
Mar-90, Manitoba, Alcoholic beverages, 18.257
Mar-90, Saskatchewan, Education and reading, 20.247
Mar-90, Saskatchewan, Alcoholic beverages, 20.257
Mar-90, Alberta, Education and reading, 23.247
Mar-90, Alberta, Alcoholic beverages, 23.257
Mar-90, British Columbia, Education and reading, 26.247
Mar-90, British Columbia, Alcoholic beverages, 26.257
Mar-90, Whitehorse Yukon, Education and reading, 29.247
Mar-90, Whitehorse Yukon, Alcoholic beverages, 29.257
Mar-90, Yellowknife Northwest Territories, Education and reading, 30.247
Mar-90, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Apr-90, Canada, Education and reading, 2.247
Apr-90, Canada, Alcoholic beverages, 2.257
Apr-90, Newfoundland and Labrador, Education and reading, 3.247
Apr-90, Newfoundland and Labrador, Alcoholic beverages, 3.257
Apr-90, Prince Edward Island, Education and reading, 5.247
Apr-90, Prince Edward Island, Alcoholic beverages, 5.257
Apr-90, Nova Scotia, Education and reading, 7.247
Apr-90, Nova Scotia, Alcoholic beverages, 7.257
Apr-90, New Brunswick, Education and reading, 9.247
Apr-90, New Brunswick, Alcoholic beverages, 9.257
Apr-90, Quebec, Education and reading, 11.247
Apr-90, Quebec, Alcoholic beverages, 11.257
Apr-90, Ontario, Education and reading, 14.247
Apr-90, Ontario, Alcoholic beverages, 14.257
Apr-90, Manitoba, Education and reading, 18.247
Apr-90, Manitoba, Alcoholic beverages, 18.257
Apr-90, Saskatchewan, Education and reading, 20.247
Apr-90, Saskatchewan, Alcoholic beverages, 20.257
Apr-90, Alberta, Education and reading, 23.247
Apr-90, Alberta, Alcoholic beverages, 23.257
Apr-90, British Columbia, Education and reading, 26.247
Apr-90, British Columbia, Alcoholic beverages, 26.257
Apr-90, Whitehorse Yukon, Education and reading, 29.247
Apr-90, Whitehorse Yukon, Alcoholic beverages, 29.257
Apr-90, Yellowknife Northwest Territories, Education and reading, 30.247
Apr-90, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
May-90, Canada, Education and reading, 2.247
May-90, Canada, Alcoholic beverages, 2.257
May-90, Newfoundland and Labrador, Education and reading, 3.247
May-90, Newfoundland and Labrador, Alcoholic beverages, 3.257
May-90, Prince Edward Island, Education and reading, 5.247
May-90, Prince Edward Island, Alcoholic beverages, 5.257
May-90, Nova Scotia, Education and reading, 7.247
May-90, Nova Scotia, Alcoholic beverages, 7.257
May-90, New Brunswick, Education and reading, 9.247
May-90, New Brunswick, Alcoholic beverages, 9.257
May-90, Quebec, Education and reading, 11.247
May-90, Quebec, Alcoholic beverages, 11.257
May-90, Ontario, Education and reading, 14.247
May-90, Ontario, Alcoholic beverages, 14.257
May-90, Manitoba, Education and reading, 18.247
May-90, Manitoba, Alcoholic beverages, 18.257
May-90, Saskatchewan, Education and reading, 20.247
May-90, Saskatchewan, Alcoholic beverages, 20.257
May-90, Alberta, Education and reading, 23.247
May-90, Alberta, Alcoholic beverages, 23.257
May-90, British Columbia, Education and reading, 26.247
May-90, British Columbia, Alcoholic beverages, 26.257
May-90, Whitehorse Yukon, Education and reading, 29.247
May-90, Whitehorse Yukon, Alcoholic beverages, 29.257
May-90, Yellowknife Northwest Territories, Education and reading, 30.247
May-90, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Jun-90, Canada, Education and reading, 2.247
Jun-90, Canada, Alcoholic beverages, 2.257
Jun-90, Newfoundland and Labrador, Education and reading, 3.247
Jun-90, Newfoundland and Labrador, Alcoholic beverages, 3.257
Jun-90, Prince Edward Island, Education and reading, 5.247
Jun-90, Prince Edward Island, Alcoholic beverages, 5.257
Jun-90, Nova Scotia, Education and reading, 7.247
Jun-90, Nova Scotia, Alcoholic beverages, 7.257
Jun-90, New Brunswick, Education and reading, 9.247
Jun-90, New Brunswick, Alcoholic beverages, 9.257
Jun-90, Quebec, Education and reading, 11.247
Jun-90, Quebec, Alcoholic beverages, 11.257
Jun-90, Ontario, Education and reading, 14.247
Jun-90, Ontario, Alcoholic beverages, 14.257
Jun-90, Manitoba, Education and reading, 18.247
Jun-90, Manitoba, Alcoholic beverages, 18.257
Jun-90, Saskatchewan, Education and reading, 20.247
Jun-90, Saskatchewan, Alcoholic beverages, 20.257
Jun-90, Alberta, Education and reading, 23.247
Jun-90, Alberta, Alcoholic beverages, 23.257
Jun-90, British Columbia, Education and reading, 26.247
Jun-90, British Columbia, Alcoholic beverages, 26.257
Jun-90, Whitehorse Yukon, Education and reading, 29.247
Jun-90, Whitehorse Yukon, Alcoholic beverages, 29.257
Jun-90, Yellowknife Northwest Territories, Education and reading, 30.247
Jun-90, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Jul-90, Canada, Education and reading, 2.247
Jul-90, Canada, Alcoholic beverages, 2.257
Jul-90, Newfoundland and Labrador, Education and reading, 3.247
Jul-90, Newfoundland and Labrador, Alcoholic beverages, 3.257
Jul-90, Prince Edward Island, Education and reading, 5.247
Jul-90, Prince Edward Island, Alcoholic beverages, 5.257
Jul-90, Nova Scotia, Education and reading, 7.247
Jul-90, Nova Scotia, Alcoholic beverages, 7.257
Jul-90, New Brunswick, Education and reading, 9.247
Jul-90, New Brunswick, Alcoholic beverages, 9.257
Jul-90, Quebec, Education and reading, 11.247
Jul-90, Quebec, Alcoholic beverages, 11.257
Jul-90, Ontario, Education and reading, 14.247
Jul-90, Ontario, Alcoholic beverages, 14.257
Jul-90, Manitoba, Education and reading, 18.247
Jul-90, Manitoba, Alcoholic beverages, 18.257
Jul-90, Saskatchewan, Education and reading, 20.247
Jul-90, Saskatchewan, Alcoholic beverages, 20.257
Jul-90, Alberta, Education and reading, 23.247
Jul-90, Alberta, Alcoholic beverages, 23.257
Jul-90, British Columbia, Education and reading, 26.247
Jul-90, British Columbia, Alcoholic beverages, 26.257
Jul-90, Whitehorse Yukon, Education and reading, 29.247
Jul-90, Whitehorse Yukon, Alcoholic beverages, 29.257
Jul-90, Yellowknife Northwest Territories, Education and reading, 30.247
Jul-90, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Aug-90, Canada, Education and reading, 2.247
Aug-90, Canada, Alcoholic beverages, 2.257
Aug-90, Newfoundland and Labrador, Education and reading, 3.247
Aug-90, Newfoundland and Labrador, Alcoholic beverages, 3.257
Aug-90, Prince Edward Island, Education and reading, 5.247
Aug-90, Prince Edward Island, Alcoholic beverages, 5.257
Aug-90, Nova Scotia, Education and reading, 7.247
Aug-90, Nova Scotia, Alcoholic beverages, 7.257
Aug-90, New Brunswick, Education and reading, 9.247
Aug-90, New Brunswick, Alcoholic beverages, 9.257
Aug-90, Quebec, Education and reading, 11.247
Aug-90, Quebec, Alcoholic beverages, 11.257
Aug-90, Ontario, Education and reading, 14.247
Aug-90, Ontario, Alcoholic beverages, 14.257
Aug-90, Manitoba, Education and reading, 18.247
Aug-90, Manitoba, Alcoholic beverages, 18.257
Aug-90, Saskatchewan, Education and reading, 20.247
Aug-90, Saskatchewan, Alcoholic beverages, 20.257
Aug-90, Alberta, Education and reading, 23.247
Aug-90, Alberta, Alcoholic beverages, 23.257
Aug-90, British Columbia, Education and reading, 26.247
Aug-90, British Columbia, Alcoholic beverages, 26.257
Aug-90, Whitehorse Yukon, Education and reading, 29.247
Aug-90, Whitehorse Yukon, Alcoholic beverages, 29.257
Aug-90, Yellowknife Northwest Territories, Education and reading, 30.247
Aug-90, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Sep-90, Canada, Education and reading, 2.247
Sep-90, Canada, Alcoholic beverages, 2.257
Sep-90, Newfoundland and Labrador, Education and reading, 3.247
Sep-90, Newfoundland and Labrador, Alcoholic beverages, 3.257
Sep-90, Prince Edward Island, Education and reading, 5.247
Sep-90, Prince Edward Island, Alcoholic beverages, 5.257
Sep-90, Nova Scotia, Education and reading, 7.247
Sep-90, Nova Scotia, Alcoholic beverages, 7.257
Sep-90, New Brunswick, Education and reading, 9.247
Sep-90, New Brunswick, Alcoholic beverages, 9.257
Sep-90, Quebec, Education and reading, 11.247
Sep-90, Quebec, Alcoholic beverages, 11.257
Sep-90, Ontario, Education and reading, 14.247
Sep-90, Ontario, Alcoholic beverages, 14.257
Sep-90, Manitoba, Education and reading, 18.247
Sep-90, Manitoba, Alcoholic beverages, 18.257
Sep-90, Saskatchewan, Education and reading, 20.247
Sep-90, Saskatchewan, Alcoholic beverages, 20.257
Sep-90, Alberta, Education and reading, 23.247
Sep-90, Alberta, Alcoholic beverages, 23.257
Sep-90, British Columbia, Education and reading, 26.247
Sep-90, British Columbia, Alcoholic beverages, 26.257
Sep-90, Whitehorse Yukon, Education and reading, 29.247
Sep-90, Whitehorse Yukon, Alcoholic beverages, 29.257
Sep-90, Yellowknife Northwest Territories, Education and reading, 30.247
Sep-90, Yellowknife Northwest Territories, Alcoholic beverages, 30.257
Oct-90, Canada, Education and reading, 2.247
Oct-90, Canada, Alcoholic beverages, 2.257
Oct-90, Newfoundland and Labrador, Education and reading, 3.247
Oct-90, Newfoundland and Labrador, Alcoholic beverages, 3.257
Oct-90, Prince Edward Island, Education and reading, 5.247
Oct-90, Prince Edward Island, Alcoholic beverages, 5.257
Oct-90, Nova Scotia, Education and reading, 7.247
Oct-90, Nova Scotia, Alcoholic beverages, 7.257
Oct-90, New Brunswick, Education and reading, 9.247
Oct-90, New Brunswick, Alcoholic beverages, 9.257
Oct-90, Quebec, Education and reading, 11.247
Oct-90, Quebec, Alcoholic beverages, 11.257
Oct-90, Ontario, Education and reading, 14.247
Oct-90, Ontario, Alcoholic beverages, 14.257
Oct-90, Manitoba, Education and reading, 18.247
Oct-90, Manitoba, Alcoholic beverages, 18.257
Oct-90, Saskatchewan, Education and reading, 20.247
Oct-90, Saskatchewan, Alcoholic beverages, 20.257
Oct-90, Alberta, Education and reading, 23.247
Oct-90, Alberta, Alcoholic beverages, 23.257
