Jan-49, Canada, Rented accommodation,2.8
Dec-78, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Dec-78, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Dec-78, Toronto Ontario, Rented accommodation,16.8
Dec-78, Toronto Ontario, Owned accommodation,16.84
Dec-78, Thunder Bay Ontario, Rented accommodation,17.8
Dec-78, Thunder Bay Ontario, Owned accommodation,17.84
Dec-78, Manitoba, Rented accommodation,18.8
Dec-78, Manitoba, Owned accommodation,18.84
Dec-78, Winnipeg Manitoba, Rented accommodation,19.8
Dec-78, Winnipeg Manitoba, Owned accommodation,19.84
Dec-78, Saskatchewan, Rented accommodation,20.8
Dec-78, Saskatchewan, Owned accommodation,20.84
Dec-78, Regina Saskatchewan, Rented accommodation,21.8
Dec-78, Regina Saskatchewan, Owned accommodation,21.84
Dec-78, Saskatoon Saskatchewan, Rented accommodation,22.8
Dec-78, Saskatoon Saskatchewan, Owned accommodation,22.84
Dec-78, Alberta, Rented accommodation,23.8
Dec-78, Alberta, Owned accommodation,23.84
Dec-78, Edmonton Alberta, Rented accommodation,24.8
Dec-78, Edmonton Alberta, Owned accommodation,24.84
Dec-78, Calgary Alberta, Rented accommodation,25.8
Dec-78, Calgary Alberta, Owned accommodation,25.84
Dec-78, British Columbia, Rented accommodation,26.8
Dec-78, British Columbia, Owned accommodation,26.84
Dec-78, Vancouver British Columbia, Rented accommodation,27.8
Dec-78, Vancouver British Columbia, Owned accommodation,27.84
Jan-79, Canada, Rented accommodation,2.8
Jan-79, Canada, Owned accommodation,2.84
Jan-79, Newfoundland and Labrador, Rented accommodation,3.8
Jan-79, Newfoundland and Labrador, Owned accommodation,3.84
Jan-79, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Jan-79, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Jan-79, Prince Edward Island, Rented accommodation,5.8
Jan-79, Prince Edward Island, Owned accommodation,5.84
Jan-79, Charlottetown and Summerside Prince Edward Island, Rented accommodation,6.8
Jan-79, Charlottetown and Summerside Prince Edward Island, Owned accommodation,6.84
Jan-79, Nova Scotia, Rented accommodation,7.8
Jan-79, Nova Scotia, Owned accommodation,7.84
Jan-79, Halifax Nova Scotia, Rented accommodation,8.8
Jan-79, Halifax Nova Scotia, Owned accommodation,8.84
Jan-79, New Brunswick, Rented accommodation,9.8
Jan-79, New Brunswick, Owned accommodation,9.84
Jan-79, Saint John New Brunswick, Rented accommodation,10.8
Jan-79, Saint John New Brunswick, Owned accommodation,10.84
Jan-79, Quebec, Rented accommodation,11.8
Jan-79, Quebec, Owned accommodation,11.84
Jan-79, Québec Quebec, Rented accommodation,12.8
Jan-79, Québec Quebec, Owned accommodation,12.84
Jan-79, Montréal Quebec, Rented accommodation,13.8
Jan-79, Montréal Quebec, Owned accommodation,13.84
Jan-79, Ontario, Rented accommodation,14.8
Jan-79, Ontario, Owned accommodation,14.84
Jan-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Jan-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Jan-79, Toronto Ontario, Rented accommodation,16.8
Jan-79, Toronto Ontario, Owned accommodation,16.84
Jan-79, Thunder Bay Ontario, Rented accommodation,17.8
Jan-79, Thunder Bay Ontario, Owned accommodation,17.84
Jan-79, Manitoba, Rented accommodation,18.8
Jan-79, Manitoba, Owned accommodation,18.84
Jan-79, Winnipeg Manitoba, Rented accommodation,19.8
Jan-79, Winnipeg Manitoba, Owned accommodation,19.84
Jan-79, Saskatchewan, Rented accommodation,20.8
Jan-79, Saskatchewan, Owned accommodation,20.84
Jan-79, Regina Saskatchewan, Rented accommodation,21.8
Jan-79, Regina Saskatchewan, Owned accommodation,21.84
Jan-79, Saskatoon Saskatchewan, Rented accommodation,22.8
Jan-79, Saskatoon Saskatchewan, Owned accommodation,22.84
Jan-79, Alberta, Rented accommodation,23.8
Jan-79, Alberta, Owned accommodation,23.84
Jan-79, Edmonton Alberta, Rented accommodation,24.8
Jan-79, Edmonton Alberta, Owned accommodation,24.84
Jan-79, Calgary Alberta, Rented accommodation,25.8
Jan-79, Calgary Alberta, Owned accommodation,25.84
Jan-79, British Columbia, Rented accommodation,26.8
Jan-79, British Columbia, Owned accommodation,26.84
Jan-79, Vancouver British Columbia, Rented accommodation,27.8
Jan-79, Vancouver British Columbia, Owned accommodation,27.84
Feb-79, Canada, Rented accommodation,2.8
Feb-79, Canada, Owned accommodation,2.84
Feb-79, Newfoundland and Labrador, Rented accommodation,3.8
Feb-79, Newfoundland and Labrador, Owned accommodation,3.84
Feb-79, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Feb-79, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Feb-79, Prince Edward Island, Rented accommodation,5.8
Feb-79, Prince Edward Island, Owned accommodation,5.84
Feb-79, Charlottetown and Summerside Prince Edward Island, Rented accommodation,6.8
Feb-79, Charlottetown and Summerside Prince Edward Island, Owned accommodation,6.84
Feb-79, Nova Scotia, Rented accommodation,7.8
Feb-79, Nova Scotia, Owned accommodation,7.84
Feb-79, Halifax Nova Scotia, Rented accommodation,8.8
Feb-79, Halifax Nova Scotia, Owned accommodation,8.84
Feb-79, New Brunswick, Rented accommodation,9.8
Feb-79, New Brunswick, Owned accommodation,9.84
Feb-79, Saint John New Brunswick, Rented accommodation,10.8
Feb-79, Saint John New Brunswick, Owned accommodation,10.84
Feb-79, Quebec, Rented accommodation,11.8
Feb-79, Quebec, Owned accommodation,11.84
Feb-79, Québec Quebec, Rented accommodation,12.8
Feb-79, Québec Quebec, Owned accommodation,12.84
Feb-79, Montréal Quebec, Rented accommodation,13.8
Feb-79, Montréal Quebec, Owned accommodation,13.84
Feb-79, Ontario, Rented accommodation,14.8
Feb-79, Ontario, Owned accommodation,14.84
Feb-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Feb-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Feb-79, Toronto Ontario, Rented accommodation,16.8
Feb-79, Toronto Ontario, Owned accommodation,16.84
Feb-79, Thunder Bay Ontario, Rented accommodation,17.8
Feb-79, Thunder Bay Ontario, Owned accommodation,17.84
Feb-79, Manitoba, Rented accommodation,18.8
Feb-79, Manitoba, Owned accommodation,18.84
Feb-79, Winnipeg Manitoba, Rented accommodation,19.8
Feb-79, Winnipeg Manitoba, Owned accommodation,19.84
Feb-79, Saskatchewan, Rented accommodation,20.8
Feb-79, Saskatchewan, Owned accommodation,20.84
Feb-79, Regina Saskatchewan, Rented accommodation,21.8
Feb-79, Regina Saskatchewan, Owned accommodation,21.84
Feb-79, Saskatoon Saskatchewan, Rented accommodation,22.8
Feb-79, Saskatoon Saskatchewan, Owned accommodation,22.84
Feb-79, Alberta, Rented accommodation,23.8
Feb-79, Alberta, Owned accommodation,23.84
Feb-79, Edmonton Alberta, Rented accommodation,24.8
Feb-79, Edmonton Alberta, Owned accommodation,24.84
Feb-79, Calgary Alberta, Rented accommodation,25.8
Feb-79, Calgary Alberta, Owned accommodation,25.84
Feb-79, British Columbia, Rented accommodation,26.8
Feb-79, British Columbia, Owned accommodation,26.84
Feb-79, Vancouver British Columbia, Rented accommodation,27.8
Feb-79, Vancouver British Columbia, Owned accommodation,27.84
Mar-79, Canada, Rented accommodation,2.8
Mar-79, Canada, Owned accommodation,2.84
Mar-79, Newfoundland and Labrador, Rented accommodation,3.8
Mar-79, Newfoundland and Labrador, Owned accommodation,3.84
Mar-79, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Mar-79, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Mar-79, Prince Edward Island, Rented accommodation,5.8
Mar-79, Prince Edward Island, Owned accommodation,5.84
Mar-79, Charlottetown and Summerside Prince Edward Island, Rented accommodation,6.8
Mar-79, Charlottetown and Summerside Prince Edward Island, Owned accommodation,6.84
Mar-79, Nova Scotia, Rented accommodation,7.8
Mar-79, Nova Scotia, Owned accommodation,7.84
Mar-79, Halifax Nova Scotia, Rented accommodation,8.8
Mar-79, Halifax Nova Scotia, Owned accommodation,8.84
Mar-79, New Brunswick, Rented accommodation,9.8
Mar-79, New Brunswick, Owned accommodation,9.84
Mar-79, Saint John New Brunswick, Rented accommodation,10.8
Mar-79, Saint John New Brunswick, Owned accommodation,10.84
Mar-79, Quebec, Rented accommodation,11.8
Mar-79, Quebec, Owned accommodation,11.84
Mar-79, Québec Quebec, Rented accommodation,12.8
Mar-79, Québec Quebec, Owned accommodation,12.84
Mar-79, Montréal Quebec, Rented accommodation,13.8
Mar-79, Montréal Quebec, Owned accommodation,13.84
Mar-79, Ontario, Rented accommodation,14.8
Mar-79, Ontario, Owned accommodation,14.84
Mar-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Mar-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Mar-79, Toronto Ontario, Rented accommodation,16.8
Mar-79, Toronto Ontario, Owned accommodation,16.84
Mar-79, Thunder Bay Ontario, Rented accommodation,17.8
Mar-79, Thunder Bay Ontario, Owned accommodation,17.84
Mar-79, Manitoba, Rented accommodation,18.8
Mar-79, Manitoba, Owned accommodation,18.84
Mar-79, Winnipeg Manitoba, Rented accommodation,19.8
Mar-79, Winnipeg Manitoba, Owned accommodation,19.84
Mar-79, Saskatchewan, Rented accommodation,20.8
Mar-79, Saskatchewan, Owned accommodation,20.84
Mar-79, Regina Saskatchewan, Rented accommodation,21.8
Mar-79, Regina Saskatchewan, Owned accommodation,21.84
Mar-79, Saskatoon Saskatchewan, Rented accommodation,22.8
Mar-79, Saskatoon Saskatchewan, Owned accommodation,22.84
Mar-79, Alberta, Rented accommodation,23.8
Mar-79, Alberta, Owned accommodation,23.84
Mar-79, Edmonton Alberta, Rented accommodation,24.8
Mar-79, Edmonton Alberta, Owned accommodation,24.84
Mar-79, Calgary Alberta, Rented accommodation,25.8
Mar-79, Calgary Alberta, Owned accommodation,25.84
Mar-79, British Columbia, Rented accommodation,26.8
Mar-79, British Columbia, Owned accommodation,26.84
Mar-79, Vancouver British Columbia, Rented accommodation,27.8
Mar-79, Vancouver British Columbia, Owned accommodation,27.84
Apr-79, Canada, Rented accommodation,2.8
Apr-79, Canada, Owned accommodation,2.84
Apr-79, Newfoundland and Labrador, Rented accommodation,3.8
Apr-79, Newfoundland and Labrador, Owned accommodation,3.84
Apr-79, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Apr-79, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Apr-79, Prince Edward Island, Rented accommodation,5.8
Apr-79, Prince Edward Island, Owned accommodation,5.84
Apr-79, Charlottetown and Summerside Prince Edward Island, Rented accommodation,6.8
Apr-79, Charlottetown and Summerside Prince Edward Island, Owned accommodation,6.84
Apr-79, Nova Scotia, Rented accommodation,7.8
Apr-79, Nova Scotia, Owned accommodation,7.84
Apr-79, Halifax Nova Scotia, Rented accommodation,8.8
Apr-79, Halifax Nova Scotia, Owned accommodation,8.84
Apr-79, New Brunswick, Rented accommodation,9.8
Apr-79, New Brunswick, Owned accommodation,9.84
Apr-79, Saint John New Brunswick, Rented accommodation,10.8
Apr-79, Saint John New Brunswick, Owned accommodation,10.84
Apr-79, Quebec, Rented accommodation,11.8
Apr-79, Quebec, Owned accommodation,11.84
Apr-79, Québec Quebec, Rented accommodation,12.8
Apr-79, Québec Quebec, Owned accommodation,12.84
Apr-79, Montréal Quebec, Rented accommodation,13.8
Apr-79, Montréal Quebec, Owned accommodation,13.84
Apr-79, Ontario, Rented accommodation,14.8
Apr-79, Ontario, Owned accommodation,14.84
Apr-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Apr-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Apr-79, Toronto Ontario, Rented accommodation,16.8
Apr-79, Toronto Ontario, Owned accommodation,16.84
Apr-79, Thunder Bay Ontario, Rented accommodation,17.8
Apr-79, Thunder Bay Ontario, Owned accommodation,17.84
Apr-79, Manitoba, Rented accommodation,18.8
Apr-79, Manitoba, Owned accommodation,18.84
Apr-79, Winnipeg Manitoba, Rented accommodation,19.8
Apr-79, Winnipeg Manitoba, Owned accommodation,19.84
Apr-79, Saskatchewan, Rented accommodation,20.8
Apr-79, Saskatchewan, Owned accommodation,20.84
Apr-79, Regina Saskatchewan, Rented accommodation,21.8
Apr-79, Regina Saskatchewan, Owned accommodation,21.84
Apr-79, Saskatoon Saskatchewan, Rented accommodation,22.8
Apr-79, Saskatoon Saskatchewan, Owned accommodation,22.84
Apr-79, Alberta, Rented accommodation,23.8
Apr-79, Alberta, Owned accommodation,23.84
Apr-79, Edmonton Alberta, Rented accommodation,24.8
Apr-79, Edmonton Alberta, Owned accommodation,24.84
Apr-79, Calgary Alberta, Rented accommodation,25.8
Apr-79, Calgary Alberta, Owned accommodation,25.84
Apr-79, British Columbia, Rented accommodation,26.8
Apr-79, British Columbia, Owned accommodation,26.84
Apr-79, Vancouver British Columbia, Rented accommodation,27.8
Apr-79, Vancouver British Columbia, Owned accommodation,27.84
May-79, Canada, Rented accommodation,2.8
May-79, Canada, Owned accommodation,2.84
May-79, Newfoundland and Labrador, Rented accommodation,3.8
May-79, Newfoundland and Labrador, Owned accommodation,3.84
May-79, St. John's Newfoundland and Labrador, Rented accommodation,4.8
May-79, St. John's Newfoundland and Labrador, Owned accommodation,4.84
May-79, Prince Edward Island, Rented accommodation,5.8
May-79, Prince Edward Island, Owned accommodation,5.84
May-79, Charlottetown and Summerside Prince Edward Island, Rented accommodation,6.8
May-79, Charlottetown and Summerside Prince Edward Island, Owned accommodation,6.84
May-79, Nova Scotia, Rented accommodation,7.8
May-79, Nova Scotia, Owned accommodation,7.84
May-79, Halifax Nova Scotia, Rented accommodation,8.8
May-79, Halifax Nova Scotia, Owned accommodation,8.84
May-79, New Brunswick, Rented accommodation,9.8
May-79, New Brunswick, Owned accommodation,9.84
May-79, Saint John New Brunswick, Rented accommodation,10.8
May-79, Saint John New Brunswick, Owned accommodation,10.84
May-79, Quebec, Rented accommodation,11.8
May-79, Quebec, Owned accommodation,11.84
May-79, Québec Quebec, Rented accommodation,12.8
May-79, Québec Quebec, Owned accommodation,12.84
May-79, Montréal Quebec, Rented accommodation,13.8
May-79, Montréal Quebec, Owned accommodation,13.84
May-79, Ontario, Rented accommodation,14.8
May-79, Ontario, Owned accommodation,14.84
May-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
May-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
May-79, Toronto Ontario, Rented accommodation,16.8
May-79, Toronto Ontario, Owned accommodation,16.84
May-79, Thunder Bay Ontario, Rented accommodation,17.8
May-79, Thunder Bay Ontario, Owned accommodation,17.84
May-79, Manitoba, Rented accommodation,18.8
May-79, Manitoba, Owned accommodation,18.84
May-79, Winnipeg Manitoba, Rented accommodation,19.8
May-79, Winnipeg Manitoba, Owned accommodation,19.84
May-79, Saskatchewan, Rented accommodation,20.8
May-79, Saskatchewan, Owned accommodation,20.84
May-79, Regina Saskatchewan, Rented accommodation,21.8
May-79, Regina Saskatchewan, Owned accommodation,21.84
May-79, Saskatoon Saskatchewan, Rented accommodation,22.8
May-79, Saskatoon Saskatchewan, Owned accommodation,22.84
May-79, Alberta, Rented accommodation,23.8
May-79, Alberta, Owned accommodation,23.84
May-79, Edmonton Alberta, Rented accommodation,24.8
May-79, Edmonton Alberta, Owned accommodation,24.84
May-79, Calgary Alberta, Rented accommodation,25.8
May-79, Calgary Alberta, Owned accommodation,25.84
May-79, British Columbia, Rented accommodation,26.8
May-79, British Columbia, Owned accommodation,26.84
May-79, Vancouver British Columbia, Rented accommodation,27.8
May-79, Vancouver British Columbia, Owned accommodation,27.84
Jun-79, Canada, Rented accommodation,2.8
Jun-79, Canada, Owned accommodation,2.84
Jun-79, Newfoundland and Labrador, Rented accommodation,3.8
Jun-79, Newfoundland and Labrador, Owned accommodation,3.84
Jun-79, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Jun-79, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Jun-79, Prince Edward Island, Rented accommodation,5.8
Jun-79, Prince Edward Island, Owned accommodation,5.84
Jun-79, Charlottetown and Summerside Prince Edward Island, Rented accommodation,6.8
Jun-79, Charlottetown and Summerside Prince Edward Island, Owned accommodation,6.84
Jun-79, Nova Scotia, Rented accommodation,7.8
Jun-79, Nova Scotia, Owned accommodation,7.84
Jun-79, Halifax Nova Scotia, Rented accommodation,8.8
Jun-79, Halifax Nova Scotia, Owned accommodation,8.84
Jun-79, New Brunswick, Rented accommodation,9.8
Jun-79, New Brunswick, Owned accommodation,9.84
Jun-79, Saint John New Brunswick, Rented accommodation,10.8
Jun-79, Saint John New Brunswick, Owned accommodation,10.84
Jun-79, Quebec, Rented accommodation,11.8
Jun-79, Quebec, Owned accommodation,11.84
Jun-79, Québec Quebec, Rented accommodation,12.8
Jun-79, Québec Quebec, Owned accommodation,12.84
Jun-79, Montréal Quebec, Rented accommodation,13.8
Jun-79, Montréal Quebec, Owned accommodation,13.84
Jun-79, Ontario, Rented accommodation,14.8
Jun-79, Ontario, Owned accommodation,14.84
Jun-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Jun-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Jun-79, Toronto Ontario, Rented accommodation,16.8
Jun-79, Toronto Ontario, Owned accommodation,16.84
Jun-79, Thunder Bay Ontario, Rented accommodation,17.8
Jun-79, Thunder Bay Ontario, Owned accommodation,17.84
Jun-79, Manitoba, Rented accommodation,18.8
Jun-79, Manitoba, Owned accommodation,18.84
Jun-79, Winnipeg Manitoba, Rented accommodation,19.8
Jun-79, Winnipeg Manitoba, Owned accommodation,19.84
Jun-79, Saskatchewan, Rented accommodation,20.8
Jun-79, Saskatchewan, Owned accommodation,20.84
Jun-79, Regina Saskatchewan, Rented accommodation,21.8
Jun-79, Regina Saskatchewan, Owned accommodation,21.84
Jun-79, Saskatoon Saskatchewan, Rented accommodation,22.8
Jun-79, Saskatoon Saskatchewan, Owned accommodation,22.84
Jun-79, Alberta, Rented accommodation,23.8
Jun-79, Alberta, Owned accommodation,23.84
Jun-79, Edmonton Alberta, Rented accommodation,24.8
Jun-79, Edmonton Alberta, Owned accommodation,24.84
Jun-79, Calgary Alberta, Rented accommodation,25.8
Jun-79, Calgary Alberta, Owned accommodation,25.84
Jun-79, British Columbia, Rented accommodation,26.8
Jun-79, British Columbia, Owned accommodation,26.84
Jun-79, Vancouver British Columbia, Rented accommodation,27.8
Jun-79, Vancouver British Columbia, Owned accommodation,27.84
Jul-79, Canada, Rented accommodation,2.8
Jul-79, Canada, Owned accommodation,2.84
Jul-79, Newfoundland and Labrador, Rented accommodation,3.8
Jul-79, Newfoundland and Labrador, Owned accommodation,3.84
Jul-79, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Jul-79, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Jul-79, Prince Edward Island, Rented accommodation,5.8
Jul-79, Prince Edward Island, Owned accommodation,5.84
Jul-79, Charlottetown and Summerside Prince Edward Island, Rented accommodation,6.8
Jul-79, Charlottetown and Summerside Prince Edward Island, Owned accommodation,6.84
Jul-79, Nova Scotia, Rented accommodation,7.8
Jul-79, Nova Scotia, Owned accommodation,7.84
Jul-79, Halifax Nova Scotia, Rented accommodation,8.8
Jul-79, Halifax Nova Scotia, Owned accommodation,8.84
Jul-79, New Brunswick, Rented accommodation,9.8
Jul-79, New Brunswick, Owned accommodation,9.84
Jul-79, Saint John New Brunswick, Rented accommodation,10.8
Jul-79, Saint John New Brunswick, Owned accommodation,10.84
Jul-79, Quebec, Rented accommodation,11.8
Jul-79, Quebec, Owned accommodation,11.84
Jul-79, Québec Quebec, Rented accommodation,12.8
Jul-79, Québec Quebec, Owned accommodation,12.84
Jul-79, Montréal Quebec, Rented accommodation,13.8
Jul-79, Montréal Quebec, Owned accommodation,13.84
Jul-79, Ontario, Rented accommodation,14.8
Jul-79, Ontario, Owned accommodation,14.84
Jul-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Jul-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Jul-79, Toronto Ontario, Rented accommodation,16.8
Jul-79, Toronto Ontario, Owned accommodation,16.84
Jul-79, Thunder Bay Ontario, Rented accommodation,17.8
Jul-79, Thunder Bay Ontario, Owned accommodation,17.84
Jul-79, Manitoba, Rented accommodation,18.8
Jul-79, Manitoba, Owned accommodation,18.84
Jul-79, Winnipeg Manitoba, Rented accommodation,19.8
Jul-79, Winnipeg Manitoba, Owned accommodation,19.84
Jul-79, Saskatchewan, Rented accommodation,20.8
Jul-79, Saskatchewan, Owned accommodation,20.84
Jul-79, Regina Saskatchewan, Rented accommodation,21.8
Jul-79, Regina Saskatchewan, Owned accommodation,21.84
Jul-79, Saskatoon Saskatchewan, Rented accommodation,22.8
Jul-79, Saskatoon Saskatchewan, Owned accommodation,22.84
Jul-79, Alberta, Rented accommodation,23.8
Jul-79, Alberta, Owned accommodation,23.84
Jul-79, Edmonton Alberta, Rented accommodation,24.8
Jul-79, Edmonton Alberta, Owned accommodation,24.84
Jul-79, Calgary Alberta, Rented accommodation,25.8
Jul-79, Calgary Alberta, Owned accommodation,25.84
Jul-79, British Columbia, Rented accommodation,26.8
Jul-79, British Columbia, Owned accommodation,26.84
Jul-79, Vancouver British Columbia, Rented accommodation,27.8
Jul-79, Vancouver British Columbia, Owned accommodation,27.84
Aug-79, Canada, Rented accommodation,2.8
Aug-79, Canada, Owned accommodation,2.84
Aug-79, Newfoundland and Labrador, Rented accommodation,3.8
Aug-79, Newfoundland and Labrador, Owned accommodation,3.84
Aug-79, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Aug-79, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Aug-79, Prince Edward Island, Rented accommodation,5.8
Aug-79, Prince Edward Island, Owned accommodation,5.84
Aug-79, Charlottetown and Summerside Prince Edward Island, Rented accommodation,6.8
Aug-79, Charlottetown and Summerside Prince Edward Island, Owned accommodation,6.84
Aug-79, Nova Scotia, Rented accommodation,7.8
Aug-79, Nova Scotia, Owned accommodation,7.84
Aug-79, Halifax Nova Scotia, Rented accommodation,8.8
Aug-79, Halifax Nova Scotia, Owned accommodation,8.84
Aug-79, New Brunswick, Rented accommodation,9.8
Aug-79, New Brunswick, Owned accommodation,9.84
Aug-79, Saint John New Brunswick, Rented accommodation,10.8
Aug-79, Saint John New Brunswick, Owned accommodation,10.84
Aug-79, Quebec, Rented accommodation,11.8
Aug-79, Quebec, Owned accommodation,11.84
Aug-79, Québec Quebec, Rented accommodation,12.8
Aug-79, Québec Quebec, Owned accommodation,12.84
Aug-79, Montréal Quebec, Rented accommodation,13.8
Aug-79, Montréal Quebec, Owned accommodation,13.84
Aug-79, Ontario, Rented accommodation,14.8
Aug-79, Ontario, Owned accommodation,14.84
Aug-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Aug-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Aug-79, Toronto Ontario, Rented accommodation,16.8
Aug-79, Toronto Ontario, Owned accommodation,16.84
Aug-79, Thunder Bay Ontario, Rented accommodation,17.8
Aug-79, Thunder Bay Ontario, Owned accommodation,17.84
Aug-79, Manitoba, Rented accommodation,18.8
Aug-79, Manitoba, Owned accommodation,18.84
Aug-79, Winnipeg Manitoba, Rented accommodation,19.8
Aug-79, Winnipeg Manitoba, Owned accommodation,19.84
Aug-79, Saskatchewan, Rented accommodation,20.8
Aug-79, Saskatchewan, Owned accommodation,20.84
Aug-79, Regina Saskatchewan, Rented accommodation,21.8
Aug-79, Regina Saskatchewan, Owned accommodation,21.84
Aug-79, Saskatoon Saskatchewan, Rented accommodation,22.8
Aug-79, Saskatoon Saskatchewan, Owned accommodation,22.84
Aug-79, Alberta, Rented accommodation,23.8
Aug-79, Alberta, Owned accommodation,23.84
Aug-79, Edmonton Alberta, Rented accommodation,24.8
Aug-79, Edmonton Alberta, Owned accommodation,24.84
Aug-79, Calgary Alberta, Rented accommodation,25.8
Aug-79, Calgary Alberta, Owned accommodation,25.84
Aug-79, British Columbia, Rented accommodation,26.8
Aug-79, British Columbia, Owned accommodation,26.84
Aug-79, Vancouver British Columbia, Rented accommodation,27.8
Aug-79, Vancouver British Columbia, Owned accommodation,27.84
Sep-79, Canada, Rented accommodation,2.8
Sep-79, Canada, Owned accommodation,2.84
Sep-79, Newfoundland and Labrador, Rented accommodation,3.8
Sep-79, Newfoundland and Labrador, Owned accommodation,3.84
Sep-79, St. John's Newfoundland and Labrador, Rented accommodation,4.8
Sep-79, St. John's Newfoundland and Labrador, Owned accommodation,4.84
Sep-79, Prince Edward Island, Rented accommodation,5.8
Sep-79, Prince Edward Island, Owned accommodation,5.84
Sep-79, Charlottetown and Summerside Prince Edward Island, Rented accommodation,6.8
Sep-79, Charlottetown and Summerside Prince Edward Island, Owned accommodation,6.84
Sep-79, Nova Scotia, Rented accommodation,7.8
Sep-79, Nova Scotia, Owned accommodation,7.84
Sep-79, Halifax Nova Scotia, Rented accommodation,8.8
Sep-79, Halifax Nova Scotia, Owned accommodation,8.84
Sep-79, New Brunswick, Rented accommodation,9.8
Sep-79, New Brunswick, Owned accommodation,9.84
Sep-79, Saint John New Brunswick, Rented accommodation,10.8
Sep-79, Saint John New Brunswick, Owned accommodation,10.84
Sep-79, Quebec, Rented accommodation,11.8
Sep-79, Quebec, Owned accommodation,11.84
Sep-79, Québec Quebec, Rented accommodation,12.8
Sep-79, Québec Quebec, Owned accommodation,12.84
Sep-79, Montréal Quebec, Rented accommodation,13.8
Sep-79, Montréal Quebec, Owned accommodation,13.84
Sep-79, Ontario, Rented accommodation,14.8
Sep-79, Ontario, Owned accommodation,14.84
Sep-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Rented accommodation,15.8
Sep-79, Ottawa-Gatineau Ontario part Ontario/Quebec, Owned accommodation,15.84
Sep-79, Toronto Ontario, Rented accommodation,16.8
Sep-79, Toronto Ontario, Owned accommodation,16.84
Sep-79, Thunder Bay Ontario, Rented accommodation,17.8
Sep-79, Thunder Bay Ontario, Owned accommodation,17.84
Sep-79, Manitoba, Rented accommodation,18.8
Sep-79, Manitoba, Owned accommodation,18.84
Sep-79, Winnipeg Manitoba, Rented accommodation,19.8
Sep-79, Winnipeg Manitoba, Owned accommodation,19.84
Sep-79, Saskatchewan, Rented accommodation,20.8
Sep-79, Saskatchewan, Owned accommodation,20.84
Sep-79, Regina Saskatchewan, Rented accommodation,21.8
Sep-79, Regina Saskatchewan, Owned accommodation,21.84
Sep-79, Saskatoon Saskatchewan, Rented accommodation,22.8
Sep-79, Saskatoon Saskatchewan, Owned accommodation,22.84
Sep-79, Alberta, Rented accommodation,23.8
Sep-79, Alberta, Owned accommodation,23.84
Sep-79, Edmonton Alberta, Rented accommodation,24.8
Sep-79, Edmonton Alberta, Owned accommodation,24.84
Sep-79, Calgary Alberta, Rented accommodation,25.8
Sep-79, Calgary Alberta, Owned accommodation,25.84
Sep-79, British Columbia, Rented accommodation,26.8
Sep-79, British Columbia, Owned accommodation,26.84
Sep-79, Vancouver British Columbia, Rented accommodation,27.8
Sep-79, Vancouver British Columbia, Owned accommodation,27.84
Oct-79, Canada, Rented accommodation,2.8
Oct-79, Canada, Owned accommodation,2.84
Oct-79, Newfoundland and Labrador, Rented accommodation,3.8
Oct-79, Newfoundland and Labrador, Owned accommodation,3.84
Oct-79, St. John's Newfoundland and Labrador, Rented accommodation,4.8
